年份, 年底人口數,土地面積,人口密度,地區,縣市
113,"553,538 ",23.1373 ,23924.0534,　板橋區　,新  北  市　
112,"554,247 ",23.1373 ,23954.6965,　板橋區　,新  北  市　
111,"549,572 ",23.1373 ,23752.6418,　板橋區　,新  北  市　
110,"552,713 ",23.1373 ,23888.3967,　板橋區　,新  北  市　
109,"557,114 ",23.1373 ,24078.6090,　板橋區　,新  北  市　
108,"556,897 ",23.1373 ,24069.2302,　板橋區　,新  北  市　
107,"554,742 ",23.1373 ,23976.0906,　板橋區　,新  北  市　
106,"551,480 ",23.1373 ,23835.1061,　板橋區　,新  北  市　
105,"552,285 ",23.1373 ,23870.0000,　板橋區　,新  北  市　
104,"554,236 ",23.1373 ,23954.0000,　板橋區　,新  北  市　
113,"383,355 ",16.3170 ,"23,494 ",　三重區　,新  北  市　
112,"383,108 ",16.3170 ,"23,479 ",　三重區　,新  北  市　
111,"379,825 ",16.3170 ,"23,278 ",　三重區　,新  北  市　
110,"381,731 ",16.3170 ,"23,395 ",　三重區　,新  北  市　
109,"385,328 ",16.3170 ,"23,615 ",　三重區　,新  北  市　
108,"386,336 ",16.3170 ,"23,677 ",　三重區　,新  北  市　
107,"385,826 ",16.3170 ,"23,646 ",　三重區　,新  北  市　
106,"387,484 ",16.3170 ,"23,747 ",　三重區　,新  北  市　
105,"388,581 ",16.3170 ,"23,814 ",　三重區　,新  北  市　
104,"388,447 ",16.3170 ,"23,806 ",　三重區　,新  北  市　
113,"405,956 ",20.1440 ,"20,153 ",　中和區　,新  北  市　
112,"407,273 ",20.1440 ,"20,218 ",　中和區　,新  北  市　
111,"403,109 ",20.1440 ,"20,011 ",　中和區　,新  北  市　
110,"406,140 ",20.1440 ,"20,162 ",　中和區　,新  北  市　
109,"411,214 ",20.1440 ,"20,414 ",　中和區　,新  北  市　
108,"413,069 ",20.1440 ,"20,506 ",　中和區　,新  北  市　
107,"412,486 ",20.1440 ,"20,477 ",　中和區　,新  北  市　
106,"413,590 ",20.1440 ,"20,532 ",　中和區　,新  北  市　
105,"414,266 ",20.1440 ,"20,565 ",　中和區　,新  北  市　
104,"414,304 ",20.1440 ,"20,567 ",　中和區　,新  北  市　
113,"213,742 ",5.7138 ,"37,408 ",　永和區　,新  北  市　
112,"214,771 ",5.7138 ,"37,588 ",　永和區　,新  北  市　
111,"212,170 ",5.7138 ,"37,133 ",　永和區　,新  北  市　
110,"214,967 ",5.7138 ,"37,622 ",　永和區　,新  北  市　
109,"219,364 ",5.7138 ,"38,392 ",　永和區　,新  北  市　
108,"220,595 ",5.7138 ,"38,607 ",　永和區　,新  北  市　
107,"221,098 ",5.7138 ,"38,695 ",　永和區　,新  北  市　
106,"222,585 ",5.7138 ,"38,956 ",　永和區　,新  北  市　
105,"223,999 ",5.7138 ,"39,203 ",　永和區　,新  北  市　
104,"225,409 ",5.7138 ,"39,450 ",　永和區　,新  北  市　
113,"423,503 ",19.7383 ,"21,456 ",　新莊區　,新  北  市　
112,"423,607 ",19.7383 ,"21,461 ",　新莊區　,新  北  市　
111,"419,966 ",19.7383 ,"21,277 ",　新莊區　,新  北  市　
110,"421,381 ",19.7383 ,"21,348 ",　新莊區　,新  北  市　
109,"422,653 ",19.7383 ,"21,413 ",　新莊區　,新  北  市　
108,"420,473 ",19.7383 ,"21,302 ",　新莊區　,新  北  市　
107,"417,754 ",19.7383 ,"21,165 ",　新莊區　,新  北  市　
106,"416,524 ",19.7383 ,"21,102 ",　新莊區　,新  北  市　
105,"414,156 ",19.7383 ,"20,982 ",　新莊區　,新  北  市　
104,"413,243 ",19.7383 ,"20,936 ",　新莊區　,新  北  市　
113,"306,571 ",120.2255 ,"2,550 ",　新店區　,新  北  市　
112,"304,868 ",120.2255 ,"2,536 ",　新店區　,新  北  市　
111,"298,594 ",120.2255 ,"2,484 ",　新店區　,新  北  市　
110,"299,696 ",120.2255 ,"2,493 ",　新店區　,新  北  市　
109,"303,532 ",120.2255 ,"2,525 ",　新店區　,新  北  市　
108,"303,445 ",120.2255 ,"2,524 ",　新店區　,新  北  市　
107,"302,231 ",120.2255 ,"2,514 ",　新店區　,新  北  市　
106,"302,089 ",120.2255 ,"2,513 ",　新店區　,新  北  市　
105,"301,168 ",120.2255 ,"2,505 ",　新店區　,新  北  市　
104,"300,267 ",120.2255 ,"2,498 ",　新店區　,新  北  市　
113,"178,981 ",33.1288 ,"5,403 ",　樹林區　,新  北  市　
112,"180,658 ",33.1288 ,"5,453 ",　樹林區　,新  北  市　
111,"180,067 ",33.1288 ,"5,435 ",　樹林區　,新  北  市　
110,"181,903 ",33.1288 ,"5,491 ",　樹林區　,新  北  市　
109,"183,470 ",33.1288 ,"5,538 ",　樹林區　,新  北  市　
108,"183,926 ",33.1288 ,"5,552 ",　樹林區　,新  北  市　
107,"183,946 ",33.1288 ,"5,552 ",　樹林區　,新  北  市　
106,"184,149 ",33.1288 ,"5,559 ",　樹林區　,新  北  市　
105,"184,400 ",33.1288 ,"5,566 ",　樹林區　,新  北  市　
104,"184,249 ",33.1288 ,"5,562 ",　樹林區　,新  北  市　
113,"89,339 ",21.1248 ,"4,229 ",　鶯歌區　,新  北  市　
112,"89,080 ",21.1248 ,"4,217 ",　鶯歌區　,新  北  市　
111,"88,406 ",21.1248 ,"4,185 ",　鶯歌區　,新  北  市　
110,"88,131 ",21.1248 ,"4,172 ",　鶯歌區　,新  北  市　
109,"87,674 ",21.1248 ,"4,150 ",　鶯歌區　,新  北  市　
108,"86,869 ",21.1248 ,"4,112 ",　鶯歌區　,新  北  市　
107,"86,361 ",21.1248 ,"4,088 ",　鶯歌區　,新  北  市　
