 區域別 , 年份 , 總人口 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100以上 , 65以下 
新北市,104,"  3,970,644 ","  164,764 ","  101,225 ","  72,859 ","  45,977 ","  29,515 ","  11,597 ","  2,650 ",  588 ,"  429,175 "
新北市,105,"  3,979,208 ","  192,041 ","  102,640 ","  77,878 ","  46,959 ","  30,195 ","  12,555 ","  3,086 ",  555 ,"  465,909 "
新北市,106,"  3,986,689 ","  213,535 ","  109,568 ","  82,117 ","  49,121 ","  30,645 ","  13,321 ","  3,497 ",  593 ,"  502,397 "
新北市,107,"  3,995,717 ","  232,421 ","  119,084 ","  87,074 ","  51,691 ","  30,757 ","  14,270 ","  3,769 ",  639 ,"  539,705 "
新北市,108,"  4,018,696 ","  247,515 ","  134,166 ","  90,713 ","  55,345 ","  30,923 ","  15,121 ","  4,021 ",  707 ,"  578,511 "
新北市,109,"  4,030,954 ","  261,636 ","  154,398 ","  89,850 ","  59,678 ","  31,613 ","  15,839 ","  4,440 ",  807 ,"  618,261 "
新北市,110,"  4,008,113 ","  265,690 ","  177,257 ","  89,882 ","  63,293 ","  32,225 ","  15,938 ","  4,791 ",  862 ,"  649,938 "
新北市,111,"  3,995,551 ","  269,523 ","  196,059 ","  95,460 ","  65,984 ","  33,225 ","  15,522 ","  4,683 ",  904 ,"  681,360 "
新北市,112,"  4,041,120 ","  279,789 ","  216,400 ","  105,381 ","  70,399 ","  35,047 ","  15,387 ","  4,833 ",  941 ,"  728,177 "
新北市,113,"  4,047,001 ","  286,578 ","  230,192 ","  119,509 ","  73,223 ","  37,683 ","  15,368 ","  4,970 ",  969 ,"  768,492 "
台北市,104,"  2,704,810 ","  136,418 ","  88,017 ","  70,435 ","  50,039 ","  34,697 ","  15,251 ","  3,579 ",  746 ,"  399,182 "
台北市,105,"  2,695,704 ","  152,844 ","  88,216 ","  72,967 ","  49,602 ","  34,799 ","  15,934 ","  4,058 ",  710 ,"  419,130 "
台北市,106,"  2,683,257 ","  163,695 ","  93,187 ","  75,392 ","  50,172 ","  35,046 ","  16,454 ","  4,465 ",  765 ,"  439,176 "
台北市,107,"  2,668,572 ","  172,292 ","  99,973 ","  77,592 ","  51,509 ","  34,511 ","  17,189 ","  4,767 ",  802 ,"  458,635 "
台北市,108,"  2,645,041 ","  176,807 ","  110,846 ","  78,730 ","  53,824 ","  34,072 ","  17,739 ","  5,036 ",  890 ,"  477,944 "
台北市,109,"  2,602,418 ","  180,387 ","  124,001 ","  76,290 ","  56,192 ","  34,250 ","  18,141 ","  5,388 ",  990 ,"  495,639 "
台北市,110,"  2,524,393 ","  177,502 ","  134,971 ","  75,060 ","  57,776 ","  33,793 ","  18,256 ","  5,667 ","  1,081 ","  504,106 "
台北市,111,"  2,480,681 ","  177,369 ","  144,605 ","  78,804 ","  59,343 ","  33,927 ","  17,894 ","  5,574 ","  1,078 ","  518,594 "
台北市,112,"  2,511,886 ","  184,266 ","  158,497 ","  87,937 ","  62,389 ","  35,454 ","  17,835 ","  5,686 ","  1,091 ","  553,155 "
台北市,113,"  2,490,869 ","  185,515 ","  164,245 ","  98,320 ","  64,045 ","  37,635 ","  17,728 ","  5,845 ","  1,125 ","  574,458 "
桃園市,104,"  2,105,780 ","  70,661 ","  46,106 ","  35,467 ","  24,853 ","  18,719 ","  6,359 ","  1,246 ",  219 ,"  203,630 "
桃園市,105,"  2,147,763 ","  82,803 ","  46,971 ","  37,570 ","  24,426 ","  18,981 ","  6,990 ","  1,454 ",  230 ,"  219,425 "
桃園市,106,"  2,188,017 ","  93,719 ","  49,630 ","  39,340 ","  25,044 ","  18,795 ","  7,598 ","  1,616 ",  262 ,"  236,004 "
桃園市,107,"  2,220,872 ","  103,298 ","  53,945 ","  41,161 ","  26,266 ","  18,034 ","  8,457 ","  1,789 ",  263 ,"  253,213 "
桃園市,108,"  2,249,037 ","  111,910 ","  60,938 ","  42,820 ","  27,872 ","  17,450 ","  9,173 ","  1,894 ",  291 ,"  272,348 "
桃園市,109,"  2,268,807 ","  120,486 ","  69,986 ","  42,572 ","  29,698 ","  17,132 ","  9,658 ","  2,208 ",  319 ,"  292,059 "
桃園市,110,"  2,272,391 ","  124,536 ","  80,795 ","  42,924 ","  31,173 ","  17,127 ","  9,669 ","  2,446 ",  370 ,"  309,040 "
桃園市,111,"  2,281,464 ","  127,778 ","  90,657 ","  45,166 ","  32,428 ","  17,353 ","  9,412 ","  2,556 ",  395 ,"  325,745 "
桃園市,112,"  2,317,445 ","  134,617 ","  100,610 ","  49,411 ","  34,168 ","  18,041 ","  8,923 ","  2,763 ",  406 ,"  348,939 "
桃園市,113,"  2,338,648 ","  140,229 ","  108,640 ","  55,858 ","  35,538 ","  19,161 ","  8,732 ","  2,900 ",  417 ,"  371,475 "
台中市,104,"  2,744,445 ","  99,051 ","  65,679 ","  52,629 ","  34,764 ","  21,293 ","  7,264 ","  1,412 ",  224 ,"  282,316 "
台中市,105,"  2,767,239 ","  114,348 ","  65,861 ","  54,836 ","  35,327 ","  21,754 ","  7,943 ","  1,594 ",  241 ,"  301,904 "
台中市,106,"  2,787,070 ","  126,337 ","  68,325 ","  56,600 ","  36,475 ","  22,194 ","  8,580 ","  1,809 ",  261 ,"  320,581 "
台中市,107,"  2,803,894 ","  137,374 ","  73,465 ","  58,302 ","  37,723 ","  22,421 ","  9,369 ","  1,917 ",  281 ,"  340,852 "
台中市,108,"  2,815,261 ","  147,413 ","  81,038 ","  58,878 ","  39,924 ","  22,580 ","  9,980 ","  2,148 ",  288 ,"  362,249 "
台中市,109,"  2,820,787 ","  155,683 ","  92,698 ","  57,826 ","  42,176 ","  22,999 ","  10,463 ","  2,436 ",  323 ,"  384,604 "
台中市,110,"  2,813,490 ","  159,720 ","  106,437 ","  57,559 ","  43,976 ","  23,581 ","  10,737 ","  2,570 ",  369 ,"  404,949 "
台中市,111,"  2,814,459 ","  163,846 ","  117,450 ","  59,636 ","  45,228 ","  24,328 ","  10,669 ","  2,741 ",  392 ,"  424,290 "
台中市,112,"  2,845,909 ","  170,031 ","  128,734 ","  64,757 ","  46,609 ","  25,188 ","  10,708 ","  2,888 ",  386 ,"  449,301 "
台中市,113,"  2,860,601 ","  175,828 ","  138,272 ","  71,952 ","  47,142 ","  26,817 ","  10,839 ","  2,961 ",  437 ,"  474,248 "
台南市,104,"  1,885,541 ","  78,250 ","  55,357 ","  48,774 ","  35,839 ","  20,407 ","  6,631 ","  1,346 ",  190 ,"  246,794 "
台南市,105,"  1,886,033 ","  90,486 ","  53,242 ","  49,695 ","  36,087 ","  21,251 ","  7,245 ","  1,494 ",  201 ,"  259,701 "
台南市,106,"  1,886,522 ","  98,468 ","  54,846 ","  49,794 ","  36,769 ","  21,862 ","  7,759 ","  1,601 ",  216 ,"  271,315 "
台南市,107,"  1,883,831 ","  104,586 ","  58,219 ","  50,456 ","  37,359 ","  22,177 ","  8,541 ","  1,694 ",  222 ,"  283,254 "
台南市,108,"  1,880,906 ","  110,376 ","  63,440 ","  50,425 ","  37,669 ","  22,917 ","  9,051 ","  1,861 ",  208 ,"  295,947 "
台南市,109,"  1,874,917 ","  115,744 ","  71,635 ","  47,800 ","  38,398 ","  23,533 ","  9,841 ","  2,085 ",  235 ,"  309,271 "
台南市,110,"  1,862,059 ","  117,920 ","  82,426 ","  45,894 ","  39,201 ","  23,812 ","  10,383 ","  2,291 ",  279 ,"  322,206 "
台南市,111,"  1,852,997 ","  121,296 ","  89,576 ","  47,228 ","  39,033 ","  23,997 ","  10,341 ","  2,389 ",  285 ,"  334,145 "
台南市,112,"  1,859,946 ","  125,752 ","  95,816 ","  50,517 ","  39,549 ","  24,327 ","  10,367 ","  2,469 ",  272 ,"  349,069 "
台南市,113,"  1,858,651 ","  129,609 ","  101,381 ","  55,201 ","  39,643 ","  24,496 ","  10,865 ","  2,607 ",  313 ,"  364,115 "
高雄市,104,"  2,778,918 ","  125,813 ","  83,915 ","  64,415 ","  41,598 ","  24,621 ","  8,354 ","  1,514 ",  218 ,"  350,448 "
高雄市,105,"  2,779,371 ","  144,968 ","  82,631 ","  67,768 ","  42,001 ","  25,193 ","  9,072 ","  1,759 ",  212 ,"  373,604 "
高雄市,106,"  2,776,912 ","  158,202 ","  85,875 ","  69,925 ","  43,405 ","  25,576 ","  9,693 ","  1,952 ",  233 ,"  394,861 "
高雄市,107,"  2,773,533 ","  167,998 ","  92,446 ","  72,189 ","  45,416 ","  25,615 ","  10,451 ","  2,072 ",  249 ,"  416,436 "
高雄市,108,"  2,773,198 ","  176,203 ","  101,248 ","  73,679 ","  47,777 ","  25,981 ","  11,023 ","  2,270 ",  271 ,"  438,452 "
高雄市,109,"  2,765,932 ","  183,148 ","  115,033 ","  71,982 ","  50,138 ","  26,630 ","  11,537 ","  2,605 ",  320 ,"  461,393 "
高雄市,110,"  2,744,691 ","  183,923 ","  131,965 ","  70,663 ","  52,737 ","  26,994 ","  11,891 ","  2,905 ",  361 ,"  481,439 "
高雄市,111,"  2,728,137 ","  185,682 ","  143,753 ","  73,528 ","  54,197 ","  27,701 ","  11,813 ","  2,909 ",  392 ,"  499,975 "
高雄市,112,"  2,737,941 ","  189,140 ","  153,902 ","  79,837 ","  56,248 ","  28,821 ","  11,707 ","  2,994 ",  397 ,"  523,046 "
高雄市,113,"  2,731,412 ","  191,512 ","  161,593 ","  87,837 ","  57,315 ","  30,585 ","  11,932 ","  3,070 ",  423 ,"  544,267 "
宜蘭縣,104,"  458,117 ","  17,963 ","  15,338 ","  14,412 ","  9,710 ","  5,479 ","  1,825 ",  394 ,  57 ,"  65,178 "
宜蘭縣,105,"  457,538 ","  20,476 ","  14,522 ","  14,697 ","  9,884 ","  5,714 ","  2,034 ",  410 ,  71 ,"  67,808 "
宜蘭縣,106,"  456,607 ","  22,382 ","  14,019 ","  14,830 ","  10,269 ","  5,829 ","  2,167 ",  456 ,  73 ,"  70,025 "
宜蘭縣,107,"  455,221 ","  24,316 ","  14,023 ","  14,807 ","  10,599 ","  6,008 ","  2,331 ",  489 ,  71 ,"  72,644 "
宜蘭縣,108,"  454,178 ","  25,721 ","  14,842 ","  14,395 ","  10,936 ","  6,230 ","  2,452 ",  523 ,  72 ,"  75,171 "
宜蘭縣,109,"  453,087 ","  27,118 ","  16,455 ","  13,447 ","  11,493 ","  6,414 ","  2,644 ",  556 ,  75 ,"  78,202 "
宜蘭縣,110,"  450,692 ","  27,858 ","  18,679 ","  12,692 ","  11,767 ","  6,578 ","  2,787 ",  645 ,  82 ,"  81,088 "
宜蘭縣,111,"  449,062 ","  28,652 ","  20,406 ","  12,246 ","  11,828 ","  6,840 ","  2,806 ",  651 ,  98 ,"  83,527 "
宜蘭縣,112,"  449,890 ","  29,402 ","  22,212 ","  12,326 ","  11,807 ","  7,101 ","  2,890 ",  677 ,  93 ,"  86,508 "
宜蘭縣,113,"  449,212 ","  30,368 ","  23,504 ","  13,034 ","  11,519 ","  7,354 ","  2,990 ",  756 ,  93 ,"  89,618 "
新竹縣,104,"  542,042 ","  17,418 ","  14,424 ","  13,313 ","  9,006 ","  5,460 ","  1,872 ",  407 ,  60 ,"  61,960 "
新竹縣,105,"  547,481 ","  19,521 ","  13,575 ","  13,660 ","  9,108 ","  5,631 ","  2,066 ",  412 ,  67 ,"  64,040 "
新竹縣,106,"  552,169 ","  21,238 ","  13,417 ","  13,569 ","  9,485 ","  5,717 ","  2,238 ",  443 ,  73 ,"  66,180 "
新竹縣,107,"  557,010 ","  22,874 ","  13,551 ","  13,553 ","  9,806 ","  5,740 ","  2,435 ",  488 ,  69 ,"  68,516 "
新竹縣,108,"  563,933 ","  24,058 ","  14,446 ","  13,354 ","  10,169 ","  5,860 ","  2,525 ",  559 ,  80 ,"  71,051 "
新竹縣,109,"  570,775 ","  25,511 ","  15,964 ","  12,523 ","  10,508 ","  6,029 ","  2,698 ",  627 ,  79 ,"  73,939 "
新竹縣,110,"  575,580 ","  26,349 ","  17,896 ","  11,800 ","  10,909 ","  6,120 ","  2,812 ",  693 ,  85 ,"  76,664 "
新竹縣,111,"  580,503 ","  27,211 ","  19,556 ","  11,729 ","  10,786 ","  6,303 ","  2,774 ",  720 ,  89 ,"  79,168 "
新竹縣,112,"  589,289 ","  28,550 ","  21,197 ","  11,921 ","  10,815 ","  6,517 ","  2,721 ",  758 ,  93 ,"  82,572 "
新竹縣,113,"  594,641 ","  29,779 ","  22,455 ","  12,798 ","  10,632 ","  6,767 ","  2,762 ",  798 ,  97 ,"  86,088 "
苗栗縣,104,"  563,912 ","  22,319 ","  18,186 ","  17,107 ","  12,533 ","  7,313 ","  2,493 ",  514 ,  79 ,"  80,544 "
苗栗縣,105,"  559,189 ","  24,829 ","  17,288 ","  17,486 ","  12,308 ","  7,570 ","  2,658 ",  553 ,  79 ,"  82,771 "
苗栗縣,106,"  553,807 ","  26,909 ","  17,245 ","  17,216 ","  12,676 ","  7,758 ","  2,852 ",  628 ,  77 ,"  85,361 "
苗栗縣,107,"  548,863 ","  28,570 ","  17,456 ","  17,134 ","  12,856 ","  7,821 ","  3,114 ",  662 ,  76 ,"  87,689 "
苗栗縣,108,"  545,459 ","  30,079 ","  18,436 ","  16,627 ","  13,052 ","  8,015 ","  3,368 ",  704 ,  97 ,"  90,378 "
苗栗縣,109,"  542,590 ","  31,273 ","  20,121 ","  15,660 ","  13,447 ","  8,214 ","  3,516 ",  774 ,  106 ,"  93,111 "
苗栗縣,110,"  538,178 ","  32,125 ","  22,308 ","  14,877 ","  13,717 ","  8,083 ","  3,673 ",  837 ,  109 ,"  95,729 "
苗栗縣,111,"  535,132 ","  32,645 ","  24,125 ","  14,789 ","  13,470 ","  8,179 ","  3,709 ",  892 ,  96 ,"  97,905 "
苗栗縣,112,"  534,575 ","  33,567 ","  25,775 ","  15,009 ","  13,325 ","  8,293 ","  3,532 ",  961 ,  105 ,"  100,567 "
苗栗縣,113,"  532,854 ","  34,839 ","  27,188 ","  15,953 ","  13,004 ","  8,393 ","  3,687 ",  994 ,  110 ,"  104,168 "
彰化縣,104,"  1,289,072 ","  51,817 ","  39,455 ","  37,374 ","  26,962 ","  14,253 ","  4,890 ",  925 ,  109 ,"  175,785 "
